Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
ADILW,Adial Pharmaceuticals Inc Warrant,United States,2018,NASDAQ,ADILW
ADMA,ADMA Biologics Inc Common Stock,United States,,NASDAQ,ADMA
ADMP,Adamis Pharmaceuticals Corporation Common Stock,United States,,NASDAQ,ADMP
ADMS,Adamas Pharmaceuticals Inc. Common Stock,United States,2014,NASDAQ,ADMS
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,2018,NASDAQ,ADN
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,2018,NASDAQ,ADNWW
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States,2020,NASDAQ,ADOC
ADOCR,Edoc Acquisition Corp. Right,United States,2020,NASDAQ,ADOCR
ADOCW,Edoc Acquisition Corp. Warrant,United States,2020,NASDAQ,ADOCW
ADP,Automatic Data Processing Inc. Common Stock,United States,,NASDAQ,ADP
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,NASDAQ,ADPT
ADSK,Autodesk Inc. Common Stock,United States,,NASDAQ,ADSK
ADTN,ADTRAN Inc. Common Stock,United States,1994,NASDAQ,ADTN
ADTX,Aditxt Inc. Common Stock,United States,2020,NASDAQ,ADTX
ADUS,Addus HomeCare Corporation Common Stock,United States,2009,NASDAQ,ADUS
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019,NASDAQ,ADV
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,2014,NASDAQ,ADVM
ADVWW,Advantage Solutions Inc. Warrant,United States,2019,NASDAQ,ADVWW
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,,NASDAQ,ADXN
ADXS,Advaxis Inc. Common Stock,United States,,NASDAQ,ADXS
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,United States,2021,NASDAQ,AEAC
AEACU,Authentic Equity Acquisition Corp. Unit,United States,2021,NASDAQ,AEACU
AEACW,Authentic Equity Acquisition Corp. Warrant,United States,2021,NASDAQ,AEACW
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),China,,NASDAQ,AEHL
AEHR,Aehr Test Systems Common Stock,United States,1997,NASDAQ,AEHR
AEI,Alset EHome International Inc. Common Stock,United States,2020,NASDAQ,AEI
AEIS,Advanced Energy Industries Inc. Common Stock,United States,1995,NASDAQ,AEIS
AEMD,Aethlon Medical Inc. Common Stock,United States,,NASDAQ,AEMD
AEP,American Electric Power Company Inc. Common Stock,United States,,NASDAQ,AEP
AEPPL,American Electric Power Company Inc. Corporate Unit,United States,,NASDAQ,AEPPL
AEPPZ,American Electric Power Company Inc. Corporate Units,United States,,NASDAQ,AEPPZ
AERI,Aerie Pharmaceuticals Inc. Common Stock,United States,2013,NASDAQ,AERI
AESE,Allied Esports Entertainment Inc. Common Stock,United States,2017,NASDAQ,AESE
AEY,ADDvantage Technologies Group Inc. Common Stock,United States,,NASDAQ,AEY
AEYE,AudioEye Inc. Common Stock,United States,,NASDAQ,AEYE
AEZS,Aeterna Zentaris Inc. Common Stock,Canada,,NASDAQ,AEZS
AFAQU,AF Acquisition Corp. Units,United States,2021,NASDAQ,AFAQU
AFAQW,AF Acquisition Corp. Warrants,United States,2021,NASDAQ,AFAQW
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,2017,NASDAQ,AFBI
AFCG,AFC Gamma Inc. Common Stock,United States,2021,NASDAQ,AFCG
AFIB,Acutus Medical Inc. Common Stock,United States,2020,NASDAQ,AFIB
AFIN,American Finance Trust Inc. Class A Common Stock,United States,,NASDAQ,AFIN
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,United States,,NASDAQ,AFINO
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,NASDAQ,AFINP
AFMD,Affimed N.V.,Germany,2014,NASDAQ,AFMD
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,NASDAQ,AFRM
AFYA,Afya Limited Class A Common Shares,Brazil,2019,NASDAQ,AFYA
AGBA,AGBA Acquisition Limited Ordinary Share,Hong Kong,2019,NASDAQ,AGBA
AGBAR,AGBA Acquisition Limited Right,Hong Kong,2019,NASDAQ,AGBAR
AGBAW,AGBA Acquisition Limited Warrant,Hong Kong,2019,NASDAQ,AGBAW
AGC,Altimeter Growth Corp. Class A Ordinary Shares,United States,2020,NASDAQ,AGC
AGCUU,Altimeter Growth Corp. Unit,United States,2020,NASDAQ,AGCUU
AGCWW,Altimeter Growth Corp. Warrant,United States,2020,NASDAQ,AGCWW
AGEN,Agenus Inc. Common Stock,United States,2000,NASDAQ,AGEN
AGFS,AgroFresh Solutions Inc. Common Stock,United States,2014,NASDAQ,AGFS
AGFY,Agrify Corporation Common Stock,United States,2021,NASDAQ,AGFY
AGGR,Agile Growth Corp. Class A Ordinary Share,United States,2021,NASDAQ,AGGR
AGGRU,Agile Growth Corp. Units,United States,2021,NASDAQ,AGGRU
AGGRW,Agile Growth Corp. Warrant.,United States,2021,NASDAQ,AGGRW
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,2013,NASDAQ,AGIO
AGLE,Aeglea BioTherapeutics Inc. Common Stock,United States,2016,NASDAQ,AGLE
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong,2018,NASDAQ,AGMH
AGNC,AGNC Investment Corp. Common Stock,United States,2008,NASDAQ,AGNC
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,NASDAQ,AGNCM
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States,,NASDAQ,AGNCN
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,NASDAQ,AGNCO
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,NASDAQ,AGNCP
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Canada,2021,NASDAQ,AGRI
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,Canada,2021,NASDAQ,AGRIW
AGRX,Agile Therapeutics Inc. Common Stock,United States,2014,NASDAQ,AGRX
AGTC,Applied Genetic Technologies Corporation Common Stock,United States,2014,NASDAQ,AGTC
AGYS,Agilysys Inc. Common Stock,United States,,NASDAQ,AGYS
AHAC,Alpha Healthcare Acquisition Corp. Class A Common Stock,United States,2020,NASDAQ,AHAC
AHACU,Alpha Healthcare Acquisition Corp. Unit,United States,2020,NASDAQ,AHACU
AHACW,Alpha Healthcare Acquisition Corp. Warrant,United States,2020,NASDAQ,AHACW
AHCO,AdaptHealth Corp. Class A Common Stock,United States,2018,NASDAQ,AHCO
AHPI,Allied Healthcare Products Inc. Common Stock,United States,1992,NASDAQ,AHPI
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,China,2019,NASDAQ,AIH
AIHS,Senmiao Technology Limited Common Stock,China,2018,NASDAQ,AIHS
AIKI,AIkido Pharma Inc. Common Stock,United States,,NASDAQ,AIKI
AIMC,Altra Industrial Motion Corp. Common Stock,United States,2006,NASDAQ,AIMC
AINV,Apollo Investment Corporation Common Stock,United States,2004,NASDAQ,AINV
AIRG,Airgain Inc. Common Stock,United States,2016,NASDAQ,AIRG
AIRT,Air T Inc. Common Stock,United States,,NASDAQ,AIRT
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States,,NASDAQ,AIRTP
AIRTW,Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021,United States,,NASDAQ,AIRTW
AKAM,Akamai Technologies Inc. Common Stock,United States,1999,NASDAQ,AKAM
AKBA,Akebia Therapeutics Inc. Common Stock,United States,2014,NASDAQ,AKBA
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,United States,2021,NASDAQ,AKIC
AKICU,Sports Ventures Acquisition Corp. Unit,United States,2021,NASDAQ,AKICU
AKRO,Akero Therapeutics Inc. Common Stock,United States,2019,NASDAQ,AKRO
AKTS,Akoustis Technologies Inc. Common Stock,United States,,NASDAQ,AKTS
AKTX,Akari Therapeutics plc ADR (0.01 USD),United Kingdom,,NASDAQ,AKTX
AKU,Akumin Inc. Common Shares,Canada,,NASDAQ,AKU
AKUS,Akouos Inc. Common Stock,United States,2020,NASDAQ,AKUS
AKYA,Akoya BioSciences Inc. Common Stock,United States,2021,NASDAQ,AKYA
ALAC,Alberton Acquisition Corporation Ordinary Shares,Hong Kong,2018,NASDAQ,ALAC
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,Hong Kong,2018,NASDAQ,ALACR
ALACW,Alberton Acquisition Corporation Warrant,Hong Kong,2018,NASDAQ,ALACW
ALBO,Albireo Pharma Inc. Common Stock,United States,,NASDAQ,ALBO
ALCO,Alico Inc. Common Stock,United States,,NASDAQ,ALCO
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,2014,NASDAQ,ALDX
ALEC,Alector Inc. Common Stock,United States,2019,NASDAQ,ALEC
