Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
ELMD,Electromed Inc. Common Stock,United States,2011,AMEX,ELMD
EMAN,eMagin Corporation Common Stock,United States,,AMEX,EMAN
EMX,EMX Royalty Corporation Common Shares (Canada),Canada,,AMEX,EMX
ENSV,Enservco Corporation Common Stock,United States,,AMEX,ENSV
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,United States,2002,AMEX,ENX
EPM,Evolution Petroleum Corporation Inc. Common Stock,United States,,AMEX,EPM
EQX,Equinox Gold Corp. Common Shares,Canada,,AMEX,EQX
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,United States,2003,AMEX,ERC
ERH,Wells Fargo Utilities and High Income Fund,,2004,AMEX,ERH
ESP,Espey Mfg. & Electronics Corp. Common Stock,United States,,AMEX,ESP
EVBN,Evans Bancorp Inc. Common Stock,United States,,AMEX,EVBN
EVI,EVI Industries Inc.  Common Stock,United States,,AMEX,EVI
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,United States,2002,AMEX,EVM
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,United States,2003,AMEX,EVV
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,United States,1999,AMEX,EVY
EXN,Excellon Resources Inc. Common Shares,,2020,AMEX,EXN
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,United States,1986,AMEX,FAX
FCO,Aberdeen Global Income Fund Inc. Common Stock,United States,1992,AMEX,FCO
FEN,First Trust Energy Income and Growth Fund,United States,2004,AMEX,FEN
FRD,Friedman Industries Inc. Common Stock,United States,,AMEX,FRD
FSI,Flexible Solutions International Inc. Common Stock (CDA),Canada,,AMEX,FSI
FSP,Franklin Street Properties Corp. Common Stock,United States,,AMEX,FSP
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,United States,2003,AMEX,FTF
FTSI,FTS International Inc. Class A Common Stock,United States,2020,AMEX,FTSI
FURY,Fury Gold Mines Limited Common Shares,,2020,AMEX,FURY
GAU,Galiano Gold Inc.,Canada,,AMEX,GAU
GBR,New Concept Energy Inc Common Stock,United States,,AMEX,GBR
GDP,Goodrich Petroleum Corporation Common Stock,United States,2017,AMEX,GDP
GGN,GAMCO Global Gold Natural Resources & Income Trust,United States,2005,AMEX,GGN
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,United States,,AMEX,GGN.B
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,,2016,AMEX,GGO
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,,,AMEX,GGO.A
GLDG,GoldMining Inc. Common Shares,,,AMEX,GLDG
GLO,Clough Global Opportunities Fund Common Stock,United States,2006,AMEX,GLO
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,United States,2005,AMEX,GLQ
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,United States,2004,AMEX,GLU
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,United States,,AMEX,GLU.A
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,United States,,AMEX,GLU.B
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,United States,2004,AMEX,GLV
GOED,1847 Goedeker Inc. Commom Stock,United States,2020,AMEX,GOED
GORO,Gold Resource Corporation Common Stock,United States,,AMEX,GORO
GPL,Great Panther Mining Limited Ordinary Shares (Canada),Canada,,AMEX,GPL
GRF,Eagle Capital Growth Fund Inc. Common Stock,United States,,AMEX,GRF
GROY,Gold Royalty Corp. Common Shares,,2021,AMEX,GROY
GSAT,Globalstar Inc. Common Stock,United States,2006,AMEX,GSAT
GSS,Golden Star Resources Ltd Common Stock,United States,,AMEX,GSS
GSV,Gold Standard Ventures Corporation Common Stock (Canada),Canada,,AMEX,GSV
GTE,Gran Tierra Energy Inc. Common Stock,Canada,,AMEX,GTE
HLM^,Hillman Group Capital Trust Preferred Stock,United States,,AMEX,HLM.
HMG,HMG/Courtland Properties Inc. Common Stock,United States,,AMEX,HMG
HNW,Pioneer Diversified High Income Fund Inc.,United States,2007,AMEX,HNW
HUSA,Houston American Energy Corporation Common Stock,United States,,AMEX,HUSA
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,United States,,AMEX,HWM.
IAF,Aberdeen Australia Equity Fund Inc Common Stock,United States,,AMEX,IAF
IBIO,iBio Inc. Common Stock,United States,,AMEX,IBIO
ID,PARTS iD Inc. Class A Common Stock,United States,2017,AMEX,ID
IGC,India Globalization Capital Inc. Common Stock,United States,,AMEX,IGC
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,United States,,AMEX,IHT
IMH,Impac Mortgage Holdings Inc. Common Stock ,United States,1997,AMEX,IMH
IMO,Imperial Oil Limited Common Stock,Canada,,AMEX,IMO
INDO,Indonesia Energy Corporation Limited Ordinary Shares,,2019,AMEX,INDO
INFU,InfuSystems Holdings Inc. Common Stock,United States,,AMEX,INFU
INTT,inTest Corporation Common Stock,United States,1997,AMEX,INTT
INUV,Inuvo Inc.,United States,,AMEX,INUV
IOR,Income Opportunity Realty Investors Inc. Common Stock,United States,,AMEX,IOR
ISDR,Issuer Direct Corporation Common Stock,United States,,AMEX,ISDR
ISR,IsoRay Inc. Common Stock (DE),United States,,AMEX,ISR
ITP,IT Tech Packaging Inc. Common Stock,China,,AMEX,ITP
ITRG,Integra Resources Corp. Common Shares,,,AMEX,ITRG
JOB,GEE Group Inc. Common Stock,United States,,AMEX,JOB
KIQ,Kelso Technologies Inc Ordinary Shares,Canada,,AMEX,KIQ
KLR,Kaleyra Inc. Common Stock,United States,2018,AMEX,KLR
KULR,KULR Technology Group Inc. Common Stock,United States,,AMEX,KULR
LCTX,Lineage Cell Therapeutics Inc. Common Stock,United States,,AMEX,LCTX
LEU,Centrus Energy Corp. Class A Common Stock,United States,2014,AMEX,LEU
LGL,LGL Group Inc. (The) Common Stock,United States,,AMEX,LGL
LNG,Cheniere Energy Inc. Common Stock,United States,,AMEX,LNG
LODE,Comstock Mining Inc. Common Stock,United States,,AMEX,LODE
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),United States,2017,AMEX,LOV
LSF,Laird Superfood Inc. Common Stock,,2020,AMEX,LSF
LXFR,Luxfer Holdings PLC Ordinary Shares,United Kingdom,2012,AMEX,LXFR
MAG,MAG Silver Corporation Ordinary Shares,Canada,,AMEX,MAG
MCF,Contango Oil & Gas Company Common Stock (TX),United States,,AMEX,MCF
MHH,Mastech Digital Inc Common Stock,United States,,AMEX,MHH
MITQ,Moving iMage Technologies Inc. Common Stock,United States,2021,AMEX,MITQ
MLSS,Milestone Scientific Inc. Common Stock,United States,2015,AMEX,MLSS
MMX,Maverix Metals Inc. Common Shares,,,AMEX,MMX
MSN,Emerson Radio Corporation Common Stock,United States,,AMEX,MSN
