Symbol,Name,Country,IPO Date,Exchange,Cleaned Symbol
GLXY,Galaxy Digital Holdings Ltd,,1900,TSX,GLXY
GOLD,GoldMining Inc.,,1900,TSX,GOLD
GTMS,Greenbrook TMS Inc.,,1900,TSX,GTMS
HR.UN,Handr Real Estate Investment Trust,,2021,TSX,HR.UN
IAU,I Gold Corp,,2021,TSX,IAU
ITH,International Tower Hill Mines Ltd,,1900,TSX,ITH
KNT,K92 Mining Inc,,2011,TSX,KNT
KOR,Corvus Gold Inc.,,1900,TSX,KOR
KRR,Karora Resources Inc.,,1900,TSX,KRR
LAS.A,Lassonde Industries Sub Voting Inc,,2021,TSX,LAS.A
LWRK,Lifeworks Inc,,2021,TSX,LWRK
NEXT,"NextSource Materials, Inc.",,1900,TSX,NEXT
NSR,Nomad Royalty Company Ltd.,,1900,TSX,NSR
NUAG,New Pacific Metals Corp,,2000,TSX,NUAG
NVEI,Nuvei Subordinate Voting Corp,,2020,TSX,NVEI
NVO,Novo Resources Corp,,2021,TSX,NVO
OLA,Orla Mining Ltd,,2007,TSX,OLA
OM,Osisko Metals Incorporated,,1900,TSX,OM
OTC,Open Text Corp,,2021,TSX,OTC
PPB,Flutter Entertainment Plc,,2021,TSX,PPB
PPTA,Perpetua Resources Corp.,,1900,TSX,PPTA
PSN,POSEIDON CONCEPTS CORP,,2021,TSX,PSN
PYR,PyroGenesis Canada Inc.,,1900,TSX,PYR
SCR,Score Media and Gaming Inc.,,1900,TSX,SCR
SGR.UN,Slate Grocery Reit Units Class U,,2021,TSX,SGR.UN
SLS,Solaris Resources Inc.,,1900,TSX,SLS
SRT-UN,SLATE RETAIL REIT UNITS CLASS U,,2014,TSX,SRT.UN
TIXT,TELUS International Inc.,,1900,TSX,TIXT
TRUL,Trulieve Cannabis Corp.,,1900,TSX,TRUL
TSU,Trisura Group Ltd,,2017,TSX,TSU
UCU,Ucore Rare Metals Inc.,,1900,TSX,UCU
UEX,UEX Corporation,,2002,TSX,UEX
VLNS,The Valens Company Inc,,2007,TSX,VLNS
WELL,Well Health Technologies Corp,,2012,TSX,WELL
WIR.UN,Wpt Industrial Real Estate Investm,,2021,TSX,WIR.UN
WIRU,Wpt Industrial Real Estate Investm,,2021,TSX,WIRU
WLLW,"Willow Biosciences, Inc.",,1900,TSX,WLLW
