Symbol,Name,Country,IPO Date,Exchange,Cleaned Symbol
FTT,Finning International Inc,,1995,TSX,FTT
YRI,Yamana Gold Inc,,1996,TSX,YRI
BYD,Boyd Group Income Inc,,1999,TSX,BYD
HR-UN,Handr Real Estate Investment Trust,,1999,TSX,HR.UN
CHP-UN,CHOICE PROPERTIES REAL ESTATE INVE,,2013,TSX,CHP.UN
TOY,Spin Master Corp,,2015,TSX,TOY
LNR,Linamar Corporation,,1995,TSX,LNR
CPX,Capital Power Corporation,,2009,TSX,CPX
OSB,Norbord Inc,,1995,TSX,OSB
FCR,First Capital Realty Inc,,2001,TSX,FCR
CIX,CI Financial Corp,,1996,TSX,CIX
SSRM,SSR Mining Inc,,1996,TSX,SSRM
KXS,Kinaxis Inc,,2014,TSX,KXS
DGC,Detour Gold Corporation,,2007,TSX,DGC
BIPC,Brookfield Infrastructure Corp Cla,,2020,TSX,BIPC
FR,First Majestic Silver Corp,,1996,TSX,FR
CRT-UN,CT REIT UNITS TRUST,,2013,TSX,CRT.UN
AGI,Alamos Gold Inc,,2004,TSX,AGI
BLX,Boralex Inc,,1996,TSX,BLX
ATZ,Aritzia Inc,,2016,TSX,ATZ
INE,Innergex Renewable Energy Inc,,2007,TSX,INE
MIC,Genworth MI Canada Inc,,2009,TSX,MIC
BBD-B,Bombardier Inc,,1999,TSX,BBD.B
WJA,WestJet Airlines Ltd,,1999,TSX,WJA
BBD-A,Bombardier Inc,,1900,TSX,BBD.A
UFS,Domtar Corporation,,1900,TSX,UFS
ELF,E-L Financial Corporation Limited,,1995,TSX,ELF
CRON,Cronos Group Inc.,,1900,TSX,CRON
DIR-UN,DREAM INDUSTRIAL REAL ESTATE INVES,,2012,TSX,DIR.UN
GEI,Gibson Energy Inc,,2011,TSX,GEI
WCP,Whitecap Resources Inc,,2003,TSX,WCP
PRMW,Primo Water Corp,,1986,TSX,PRMW
TA,TransAlta Corporation,,1999,TSX,TA
NG,NovaGold Resources Inc,,1999,TSX,NG
TRQ,Turquoise Hill Resources Ltd,,1996,TSX,TRQ
ATA,ATS Automation Tooling Systems Inc,,1996,TSX,ATA
STLC,Stelco Holdings Inc,,2017,TSX,STLC
MFI,Maple Leaf Foods Inc,,1996,TSX,MFI
SMU-UN,SUMMIT INDUSTRIAL INCOME REIT UNIT,,2013,TSX,SMU.UN
ENGH,Enghouse Systems Limited,,1999,TSX,ENGH
TCN,Tricon Capital Group Inc,,2010,TSX,TCN
CRR-UN,Crombie Real Estate Investment Tru,,2006,TSX,CRR.UN
CJT,Cargojet Inc,,2005,TSX,CJT
MX,Methanex Corporation,,1999,TSX,MX
PSK,PrairieSky Royalty Ltd,,2014,TSX,PSK
LIF,Labrador Iron Ore Royalty Corporation,,1997,TSX,LIF
CFP,CANFOR CORP,,1995,TSX,CFP
FN,First National Financial Corporation,,2006,TSX,FN
CWB,Canadian Western Bank,,1995,TSX,CWB
VII,Seven Generations Energy Ltd,,2014,TSX,VII
MAXR,Maxar Technologies Inc,,2000,TSX,MAXR
NWH-UN,NORTHWEST HEALTHCARE PROPERTIES UN,,2010,TSX,NWH.UN
CSH-UN,CHARTWELL RETIREMENT RESIDENCES RE,,2003,TSX,CSH.UN
OR,Osisko Gold Royalties Ltd,,2014,TSX,OR
ASR,Alacer Gold Corp,,2002,TSX,ASR
SJ,Stella-Jones Inc,,1999,TSX,SJ
CG,Centerra Gold Inc,,2004,TSX,CG
SPB,Superior Plus Corp,,1997,TSX,SPB
BCB,Cott Corporation,,1995,TSX,BCB
GC,Great Canadian Gaming Corporation,,1999,TSX,GC
NVU-UN,Northview Apartment Real Estate In,,2002,TSX,NVU.UN
IIP-UN,INTERRENT REAL ESTATE INVESTMENT T,,2001,TSX,IIP.UN
GSY,goeasy Ltd,,2018,TSX,GSY
PXT,Parex Resources Inc,,2009,TSX,PXT
WPK,Winpak Ltd,,2001,TSX,WPK
EQX,Equinox Gold Corp.,,1900,TSX,EQX
LUG,Lundin Gold Inc,,1999,TSX,LUG
CPG,Crescent Point Energy Corp,,2003,TSX,CPG
AIF,Altus Group Limited,,2005,TSX,AIF
ECN,ECN Capital Corp,,2016,TSX,ECN
BEI-UN,Boardwalk Real Estate Investment T,,1999,TSX,BEI.UN
RCH,Richelieu Hardware Ltd,,1996,TSX,RCH
MEG,MEG Energy Corp,,2010,TSX,MEG
EQB,Equitable Group Inc,,2004,TSX,EQB
KMP-UN,Killam Apartment Reit Units,,2003,TSX,KMP.UN
MAG,MAG Silver Corp,,2003,TSX,MAG
MSI,Morneau Shepell Inc,,2005,TSX,MSI
PVG,Pretium Resources Inc,,2010,TSX,PVG
NXE,NexGen Energy Ltd,,2012,TSX,NXE
ERO,Ero Copper Corp,,2017,TSX,ERO
ELD,Eldorado Gold Corporation,,1996,TSX,ELD
POU,Paramount Resources Ltd,,1995,TSX,POU
TCL-A,Transcontinental Inc,,1999,TSX,TCL.A
TGZ,Teranga Gold Corporation,,2010,TSX,TGZ
RUS,Russel Metals Inc,,1996,TSX,RUS
HBM,Hudbay Minerals Inc,,2004,TSX,HBM
CUF-UN,Cominar Real Estate Investment Tru,,1999,TSX,CUF.UN
LAC,Lithium Americas Corp,,2008,TSX,LAC
ERF,Enerplus Corporation,,2001,TSX,ERF
CS,Capstone Mining Corp,,1999,TSX,CS
NFI,NFI Group Inc,,2011,TSX,NFI
SSL,Sandstorm Gold Ltd,,2008,TSX,SSL
AUP,Aurinia Pharmaceuticals Inc,,2000,TSX,AUP
HCG,Home Capital Group Inc,,2004,TSX,HCG
LB,Laurentian Bank of Canada,,1995,TSX,LB
FVI,Fortuna Silver Mines Inc,,2005,TSX,FVI
ACB,Aurora Cannabis Inc,,2014,TSX,ACB
NWC,The North West Company Inc,,1997,TSX,NWC
KML,Kinder Morgan Canada Limited,,2017,TSX,KML
WDO,Wesdome Gold Mines Ltd,,1989,TSX,WDO
IMG,IAMGOLD Corporation,,1996,TSX,IMG
MTY,MTY Food Group Inc,,1996,TSX,MTY
MRC,Morguard Corporation,,1995,TSX,MRC
SEA,Seabridge Gold Inc,,1996,TSX,SEA
OGC,OceanaGold Corporation,,2007,TSX,OGC
SMF,SEMAFO Inc,,1997,TSX,SMF
IFP,Interfor Corporation,,2006,TSX,IFP
CAS,Cascades Inc,,1995,TSX,CAS
ITP,Intertape Polymer Group Inc,,1996,TSX,ITP
HBC,Hudson's Bay Company,,2012,TSX,HBC
AND,Andlauer Healthcare Group Inc,,2019,TSX,AND
CGO,Cogeco Inc,,1995,TSX,CGO
AX-UN,Artis Real Estate Investment Trust,,2004,TSX,AX.UN
EIF,Exchange Income Corporation,,2009,TSX,EIF
SOY,SunOpta Inc,,2001,TSX,SOY
BAD,Badger Daylighting Ltd,,2004,TSX,BAD
NGD,New Gold Inc,,1996,TSX,NGD
JWEL,Jamieson Wellness Inc,,2017,TSX,JWEL
SIL,Silvercrest Metals Inc,,1999,TSX,SIL
VET,Vermilion Energy Inc,,1996,TSX,VET
NEXA,Nexa Resources S.A,,2017,TSX,NEXA
DPM,Dundee Precious Metals Inc,,1995,TSX,DPM
REAL,Real Matters Inc,,2017,TSX,REAL
ECA,Encana Corporation,,2001,TSX,ECA
SES,Secure Energy Services Inc,,2010,TSX,SES
BIR,Birchcliff Energy Ltd,,2005,TSX,BIR
CGG,China Gold International Resources Corp. Ltd,,2003,TSX,CGG
SIS,Savaria Corporation,,2003,TSX,SIS
CJR-B,Corus Entertainment Inc,,1999,TSX,CJR.B
CF,Canaccord Genuity Group Inc,,2006,TSX,CF
CLS,Celestica Inc,,1998,TSX,CLS
MTL,Mullen Group Ltd,,1997,TSX,MTL
CNL,CONTINENTAL GOLD INC,,2010,TSX,CNL
ACQ,AutoCanada Inc,,2006,TSX,ACQ
SII,Sprott Inc,,2008,TSX,SII
RFP,Resolute Forest Products Inc,,1900,TSX,RFP
TXG,Torex Gold Resources Inc,,2010,TSX,TXG
D-UN,Dream Office Real Estate Units Tru,,1999,TSX,D.UN
DRM,Dream Unlimited Corp,,2013,TSX,DRM
OSK,Osisko Mining Inc,,2012,TSX,OSK
PEY,Peyto Exploration & Development Corp,,2003,TSX,PEY
LGO,Largo Resources Ltd,,2003,TSX,LGO
SIA,Sienna Senior Living Inc,,2010,TSX,SIA
FSZ,Fiera Capital Corporation,,2003,TSX,FSZ
BTE,Baytex Energy Corp,,2003,TSX,BTE
VGCX,Victoria Gold Corp,,1984,TSX,VGCX
SVM,Silvercorp Metals Inc,,1996,TSX,SVM
ET,Evertz Technologies Limited,,2001,TSX,ET
FRU,Freehold Royalties Ltd,,1997,TSX,FRU
ARE,Aecon Group Inc,,1996,TSX,ARE
WTE,Westshore Terminals Investment Corporation,,1998,TSX,WTE
EDR,Endeavour Silver Corp,,2018,TSX,EDR
ACI,Altagas Canada Inc,,2018,TSX,ACI
ZZZ,Sleep Country Canada Holdings Inc,,2015,TSX,ZZZ
PLC,Park Lawn Corporation,,2006,TSX,PLC
TRIL,Trillium Therapeutics Inc.,,1900,TSX,TRIL
VFF,Village Farms International,,2003,TSX,VFF
DML,Denison Mines Corp,,1997,TSX,DML
MRE,Martinrea International Inc,,1998,TSX,MRE
AR,Argonaut Gold Inc,,2010,TSX,AR
OGI,Organigram Holdings Inc,,2012,TSX,OGI
MEQ,Mainstreet Equity Corp,,2018,TSX,MEQ
MMX,Maverix Metals Inc.,,1900,TSX,MMX
IPCO,International Petroleum Corporation,,2017,TSX,IPCO
MI-UN,Minto Apartment Real Estate Invest,,2018,TSX,MI.UN
WPRT,Westport Fuel Systems Inc,,1999,TSX,WPRT
TVE,Tamarack Valley Energy Ltd,,2002,TSX,TVE
EFR,Energy Fuels,,1900,TSX,EFR
CGX,Cineplex Inc,,2003,TSX,CGX
HEXO,HEXO Corp.,,1900,TSX,HEXO
SW,"Sierra Wireless, Inc",,1999,TSX,SW
NVA,NuVista Energy Ltd,,2003,TSX,NVA
AAV,Advantage Oil & Gas Ltd,,2009,TSX,AAV
U,Uranium Participation Corporation,,2006,TSX,U
GGD,GoGold Resources Inc,,2010,TSX,GGD
EXE,Extendicare Inc,,2006,TSX,EXE
